"table"	"variable"	"sumlevel"	"change_cv"	"change_cv_count"
"b25070"	"b25070_002"	"030"	"medium"	1
"b25070"	"b25070_002"	"040"	"high"	11
"b25070"	"b25070_002"	"040"	"low"	11
"b25070"	"b25070_002"	"040"	"medium"	20
"b25070"	"b25070_002"	"050"	"high"	3
"b25070"	"b25070_002"	"050"	"low"	599
"b25070"	"b25070_002"	"050"	"medium"	35
"b25070"	"b25070_002"	"060"	"high"	2
"b25070"	"b25070_002"	"060"	"low"	1663
"b25070"	"b25070_002"	"060"	"medium"	29
"b25070"	"b25070_002"	"140"	"low"	4376
"b25070"	"b25070_002"	"140"	"medium"	15
"b25070"	"b25070_002"	"150"	"low"	3404
"b25070"	"b25070_002"	"150"	"medium"	16
"b25070"	"b25070_002"	"160"	"high"	3
"b25070"	"b25070_002"	"160"	"low"	1282
"b25070"	"b25070_002"	"160"	"medium"	23
"b25070"	"b25070_002"	"170"	"low"	3
"b25070"	"b25070_002"	"170"	"medium"	1
"b25070"	"b25070_002"	"250"	"low"	40
"b25070"	"b25070_002"	"250"	"medium"	2
"b25070"	"b25070_002"	"251"	"low"	20
"b25070"	"b25070_002"	"251"	"medium"	1
"b25070"	"b25070_002"	"256"	"low"	41
"b25070"	"b25070_002"	"258"	"low"	55
"b25070"	"b25070_002"	"258"	"medium"	2
"b25070"	"b25070_002"	"310"	"high"	3
"b25070"	"b25070_002"	"310"	"low"	201
"b25070"	"b25070_002"	"310"	"medium"	22
"b25070"	"b25070_002"	"400"	"high"	4
"b25070"	"b25070_002"	"400"	"low"	458
"b25070"	"b25070_002"	"400"	"medium"	26
"b25070"	"b25070_002"	"500"	"high"	1
"b25070"	"b25070_002"	"500"	"low"	144
"b25070"	"b25070_002"	"500"	"medium"	47
"b25070"	"b25070_002"	"795"	"high"	2
"b25070"	"b25070_002"	"795"	"low"	543
"b25070"	"b25070_002"	"795"	"medium"	39
"b25070"	"b25070_002"	"860"	"low"	2315
"b25070"	"b25070_002"	"860"	"medium"	37
"b25070"	"b25070_003"	"010"	"high"	1
"b25070"	"b25070_003"	"020"	"high"	4
"b25070"	"b25070_003"	"030"	"high"	8
